,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,League_N,Division_W,NewLeague_N
-Tom Paciorek,213.0,61.0,4.0,17.0,22.0,3.0,17.0,4061.0,1145.0,83.0,488.0,491.0,244.0,178.0,45.0,4.0,False,True,False
-Garry Templeton,510.0,126.0,2.0,42.0,44.0,35.0,11.0,5562.0,1578.0,44.0,703.0,519.0,256.0,207.0,358.0,20.0,True,True,True
-Tony Gwynn,642.0,211.0,14.0,107.0,59.0,52.0,5.0,2364.0,770.0,27.0,352.0,230.0,193.0,337.0,19.0,4.0,True,True,True
-Rafael Belliard,309.0,72.0,0.0,33.0,31.0,26.0,5.0,354.0,82.0,0.0,41.0,32.0,26.0,117.0,269.0,12.0,True,False,True
-George Brett,441.0,128.0,16.0,70.0,73.0,80.0,14.0,6675.0,2095.0,209.0,1072.0,1050.0,695.0,97.0,218.0,16.0,False,True,False
-Johnny Ray,579.0,174.0,7.0,67.0,78.0,58.0,6.0,3053.0,880.0,32.0,366.0,337.0,218.0,280.0,479.0,5.0,True,False,True
-Mike Schmidt,20.0,1.0,0.0,0.0,0.0,0.0,2.0,41.0,9.0,2.0,6.0,7.0,4.0,78.0,220.0,6.0,True,False,True
-Mike Scioscia,374.0,94.0,5.0,36.0,26.0,62.0,7.0,1968.0,519.0,26.0,181.0,199.0,288.0,756.0,64.0,15.0,True,True,True
-Bill Almon,196.0,43.0,7.0,29.0,27.0,30.0,13.0,3231.0,825.0,36.0,376.0,290.0,238.0,80.0,45.0,8.0,True,False,True
-Willie Upshaw,573.0,144.0,9.0,85.0,60.0,78.0,8.0,3198.0,857.0,97.0,470.0,420.0,332.0,1314.0,131.0,12.0,False,False,False
-Mike Young,369.0,93.0,9.0,43.0,42.0,49.0,5.0,1258.0,323.0,54.0,181.0,177.0,157.0,149.0,1.0,6.0,False,False,False
-Cory Snyder,416.0,113.0,24.0,58.0,69.0,16.0,1.0,416.0,113.0,24.0,58.0,69.0,16.0,203.0,70.0,10.0,False,False,False
-Pat Sheridan,236.0,56.0,6.0,41.0,19.0,21.0,5.0,1257.0,329.0,24.0,166.0,125.0,105.0,172.0,1.0,4.0,False,False,False
-Harry Spilman,143.0,39.0,5.0,18.0,30.0,15.0,9.0,639.0,151.0,16.0,80.0,97.0,61.0,138.0,15.0,1.0,True,True,True
-Chili Davis,526.0,146.0,13.0,71.0,70.0,84.0,6.0,2648.0,715.0,77.0,352.0,342.0,289.0,303.0,9.0,9.0,True,True,True
-Rick Schu,208.0,57.0,8.0,32.0,25.0,18.0,3.0,653.0,170.0,17.0,98.0,54.0,62.0,42.0,94.0,13.0,True,False,True
