,Salary
-Tom Paciorek,235.0
-Garry Templeton,737.5
-Tony Gwynn,740.0
-Rafael Belliard,130.0
-George Brett,1500.0
-Johnny Ray,657.0
-Mike Schmidt,2127.333
-Mike Scioscia,875.0
-Bill Almon,240.0
-Willie Upshaw,960.0
-Mike Young,350.0
-Cory Snyder,90.0
-Pat Sheridan,190.0
-Harry Spilman,175.0
-Chili Davis,815.0
-Rick Schu,140.0
-Ted Simmons,500.0
-Willie McGee,700.0
-Oddibe McDowell,200.0
-Eddie Milner,490.0
-Mike Davis,780.0
-Steve Sax,90.0
-Sid Bream,200.0
-Ray Knight,500.0
-Andre Dawson,500.0
-Ruben Sierra,97.5
-Argenis Salazar,100.0
-Shawon Dunston,155.0
-Ron Oester,750.0
-Ed Romero,375.0
-Jim Dwyer,275.0
-Dan Pasqua,110.0
-Larry Herndon,225.0
-Marty Barrett,575.0
-Chris Speier,275.0
-Eric Davis,300.0
-Gary Pettis,400.0
-Randy Bush,300.0
-George Hendrick,700.0
-Kevin Mitchell,125.0
-Phil Bradley,750.0
-Alex Trevino,512.5
-Mike Diaz,90.0
-Bill Schroeder,180.0
-Kal Daniels,86.5
-Mike Heath,650.0
-Gary Carter,1925.571
-Rey Quinones,70.0
-Mel Hall,550.0
-Lance Parrish,800.0
-Howard Johnson,297.5
-Jeff Reed,75.0
-Bo Diaz,750.0
-Jim Rice,2412.5
-Alan Trammell,517.143
-Steve Jeltz,150.0
-Herm Winningham,90.0
-Len Matuszek,265.0
-Ron Kittle,425.0
-Kevin Bass,630.0
-Jose Cruz,773.333
-Tim Wallach,750.0
-Dave Parker,1041.667
-Buddy Biancalana,175.0
-Candy Maldonado,415.0
-Rob Wilfong,341.667
-Joe Carter,250.0
-Glenn Braggs,70.0
-Dave Concepcion,320.0
-Billy Hatcher,110.0
-Eddie Murray,2460.0
-Craig Reynolds,416.667
-Bill Doran,625.0
-Rob Deer,215.0
-Andres Galarraga,91.5
-Steve Garvey,1450.0
-Don Baylor,950.0
-Leon Durham,1183.333
-Ron Hassey,560.0
-Joel Skinner,110.0
-Vance Law,525.0
-Bob Melvin,90.0
-Reggie Jackson,487.5
-John Moses,80.0
-Milt Thompson,140.0
-Jim Gantner,850.0
-Tom Brookens,341.667
-Robby Thompson,140.0
-Andre Thornton,1100.0
-Ronn Reynolds,190.0
-Davey Lopes,450.0
-John Russell,155.0
-Alvin Davis,480.0
-Dan Gladden,210.0
-Bob Dernier,708.333
-Don Mattingly,1975.0
-Dwayne Murphy,600.0
-Andres Thomas,75.0
-Kirk Gibson,1300.0
-Ken Landreaux,737.5
-Greg Gagne,155.0
-Gary Ward,600.0
-Steve Buechele,135.0
-Tony Fernandez,350.0
-Von Hayes,1300.0
-Roy Smalley,740.0
-Don Slaught,431.5
-Daryl Boston,75.0
-Kevin McReynolds,625.0
-Larry Sheets,145.0
-Larry Parrish,587.5
-Tim Flannery,326.667
-Keith Hernandez,1800.0
-Rafael Santana,250.0
-Ken Phelps,300.0
-Hal McRae,325.0
-Bill Buckner,776.667
-Marvell Wynne,240.0
-Brian Downing,900.0
-Joel Youngblood,450.0
-Terry Harper,425.0
-Danny Tartabull,145.0
-Rick Manning,400.0
-Juan Samuel,640.0
-Keith Moreland,1043.333
-Jose Uribe,195.0
-Rick Leach,250.0
-Wade Boggs,1600.0
-Denny Walling,595.0
-Tom Foley,250.0
-Carlton Fisk,875.0
